gen_tokens,mode,step_idx,median_ms,p95_ms,std_ms
128,fp16_eager,54,35.458063,37.642526,1.13212
128,fp16_eager,55,34.932671,39.368066,2.305642
128,fp16_eager,56,34.736496,36.508274,1.052656
128,fp16_eager,57,34.777021,37.912207,1.79816
128,fp16_eager,58,35.070789,36.082897,0.800023
128,fp16_eager,59,35.203615,35.673354,0.735021
128,fp16_eager,60,34.518999,35.372146,0.66009
128,fp16_eager,61,35.567278,35.851876,1.014888
128,fp16_eager,62,35.105487,37.178342,1.536451
128,fp16_eager,63,35.635513,36.609116,0.82855
128,fp16_eager,64,35.581484,36.421651,0.871414
128,fp16_eager,65,34.423872,34.698528,0.306844
128,fp16_eager,66,34.70807,37.656218,1.486981
128,fp16_eager,67,34.78033,36.926531,1.339469
128,fp16_eager,68,34.414149,35.031877,0.476279
128,fp16_eager,69,35.210022,35.394743,0.411155
128,fp16_eager,70,34.939629,35.571298,0.562315
128,fp16_eager,71,34.756966,38.488871,1.751856
128,fp16_eager,72,34.666307,35.819251,0.781192
128,fp16_eager,73,34.752252,35.781472,0.495088
128,fp16_eager,74,35.408248,36.216653,0.936565
128,fp16_eager,75,35.133734,36.509329,0.836395
128,fp16_eager,76,34.599136,36.461301,1.112922
128,fp16_eager,77,34.608163,36.675795,1.168569
128,fp16_eager,78,34.814195,36.564284,1.137175
128,fp16_eager,79,34.460407,36.258943,0.893721
128,fp16_eager,80,34.325602,35.149774,0.502179
128,fp16_eager,81,34.436867,35.502681,0.571843
128,fp16_eager,82,35.442909,42.486429,3.750089
128,fp16_eager,83,35.177555,37.194114,1.226423
128,fp16_eager,84,34.905491,36.3826,0.981035
128,fp16_eager,85,35.265608,36.341307,0.904491
128,fp16_eager,86,35.481882,36.476584,0.758168
128,fp16_eager,87,35.270604,36.134314,0.577507
128,fp16_eager,88,35.392546,36.612207,0.864152
128,fp16_eager,89,35.464861,36.525308,1.162872
128,fp16_eager,90,35.387266,37.52779,1.682433
128,fp16_eager,91,35.080224,39.322737,2.018584
128,fp16_eager,92,34.878341,42.537041,3.922718
128,fp16_eager,93,35.712529,38.103193,1.74132
128,fp16_eager,94,34.434074,40.302214,3.107442
128,fp16_eager,95,34.797864,36.312963,0.930507
128,fp16_eager,96,35.046777,36.894978,1.064759
128,fp16_eager,97,35.694678,41.959881,3.208821
128,fp16_eager,98,34.644607,43.883624,4.27011
128,fp16_eager,99,35.05554,45.319182,5.395746
128,fp16_eager,100,33.891672,39.811122,2.823097
128,fp16_eager,101,34.433321,41.157041,3.323306
128,fp16_eager,102,34.749503,39.918994,2.624933
128,fp16_eager,103,35.628841,38.640664,1.841218
128,fp16_eager,104,36.2618,42.023195,3.211247
128,fp16_eager,105,34.601622,40.078968,2.875219
128,fp16_eager,106,34.403266,39.097156,2.466594
128,fp16_eager,107,34.930178,36.732581,1.176108
128,fp16_eager,108,34.749438,40.346234,2.997558
128,fp16_eager,109,35.218291,39.753043,2.545965
128,fp16_eager,110,34.553144,43.567654,4.199837
128,fp16_eager,111,34.334054,41.552013,3.635045
128,fp16_eager,112,36.468384,37.553927,1.341689
128,fp16_eager,113,37.176843,44.880496,4.66098
128,fp16_eager,114,34.458414,37.953861,1.679496
128,fp16_eager,115,34.034278,35.06602,0.652818
128,fp16_eager,116,34.930203,35.882674,0.754009
